component,investment period,TAC,capacity,capacity_max,operation,operation_max_of_build_capacity,operation_max_of_capacity_max,FLH,LCOX_EURct_kWh,rel_capacity_build,curtailment
battery_liion,2020,0.0001998405202907208,0.006330582940457041,0.0,0.0006490260684067725,0.0,0.0,0.1025223229063192,30790.83106496613,,-inf
battery_liion,2030,0.0018373706709897708,0.0638959078830806,0.0,2.55880148084824,0.0,0.0,40.04640618817784,71.80590931894741,,-inf
battery_liion,2040,0.0040540679657740455,0.1655660833312931,0.0,5.545495210592691,0.0,0.0,33.49414988271668,73.10560755746745,,-inf
coal,2020,1.1376121824641765,12.920410840903791,0.0,37312.08488080841,0.0,0.0,2887.840436364824,3.048910791498845,,-inf
coal,2030,0.691144842145042,7.849665684609624,0.0,58392.53532636228,0.0,0.0,7438.856337646211,1.1836184852775404,,-inf
coal,2040,0.8196224595968546,9.308848020140609,0.0,68426.56913806185,0.0,0.0,7350.702148108363,1.197813173919522,,-inf
coal_pp,2020,1.1376121824641765,12.920410840903791,0.0,37312.08488080841,0.0,0.0,2887.840436364824,3.048910791498845,,-inf
coal_pp,2030,0.691144842145042,7.849665684609624,0.0,58392.53532636228,0.0,0.0,7438.856337646211,1.1836184852775404,,-inf
coal_pp,2040,0.8196224595968546,9.308848020140609,0.0,68426.56913806185,0.0,0.0,7350.702148108363,1.197813173919522,,-inf
compressor,2020,0.10075043089305073,0.6785132138835888,0.0,5943.773673870483,0.0,0.0,8759.996934842666,1.6950583319812678,,-inf
compressor,2030,0.07345501747377366,0.7750200858791032,0.0,5955.89760059256,0.0,0.0,7684.829992292137,1.2333156544945556,,-inf
compressor,2040,0.05876648698014935,0.7644394973094031,0.0,5955.5902594007475,0.0,0.0,7790.79349034506,0.986744964319665,,-inf
electricity_demand,2020,0.0,0.0,0.0,44851.61153614406,0.0,0.0,,0.0,,-inf
electricity_demand,2030,0.0,0.0,0.0,52436.57967904929,0.0,0.0,,0.0,,-inf
electricity_demand,2040,0.0,0.0,0.0,62470.8575293817,0.0,0.0,,0.0,,-inf
electricity_grid,2020,0.0,0.0,0.0,0.009544842164338768,0.0,0.0,,0.0,,-inf
electricity_grid,2030,0.0,0.0,0.0,0.020985128870519884,0.0,0.0,,0.0,,-inf
electricity_grid,2040,0.0,0.0,0.0,0.048615206609339816,0.0,0.0,,0.0,,-inf
electrolyzer_pem_compressor,2020,0.10075043089305073,0.6785132138835888,0.0,5943.773673870483,0.0,0.0,8759.996934842666,1.6950583319812678,,-inf
electrolyzer_pem_compressor,2030,0.07345501747377366,0.7750200858791032,0.0,5955.89760059256,0.0,0.0,7684.829992292137,1.2333156544945556,,-inf
electrolyzer_pem_compressor,2040,0.05876648698014935,0.7644394973094031,0.0,5955.5902594007475,0.0,0.0,7790.79349034506,0.986744964319665,,-inf
geothermal_egs,2020,0.0,0.0,3.4156,0.00021408081699056126,0.0,29920.656000000003,,0.0,0.0,-inf
geothermal_egs,2030,0.0,0.0,3.4156,0.0010154028710940388,0.0,29920.656000000003,,0.0,0.0,-inf
geothermal_egs,2040,0.0,0.0,3.4156,0.0021617301859474976,0.0,29920.656000000003,,0.0,0.0,-inf
hydrogen_gas_demand,2020,0.0,0.0,0.0,4059.5954872267794,0.0,0.0,,0.0,,-inf
hydrogen_gas_demand,2030,0.0,0.0,0.0,4059.5954872267794,0.0,0.0,,0.0,,-inf
hydrogen_gas_demand,2040,0.0,0.0,0.0,4059.5954872267794,0.0,0.0,,0.0,,-inf
hydrogen_saltcavern,2020,0.0001596310212711391,2.1956861303392263,1348322.5626,0.002216729341541808,0.0,0.0,0.0010095838885675935,7201.19584649475,1.6284576044661274e-06,-inf
hydrogen_saltcavern,2030,0.0020441826790850897,28.117238871278268,1348322.5626,547.4423545528384,0.0,0.0,19.469989818667802,0.37340601473096063,2.085349578149844e-05,-inf
hydrogen_saltcavern,2040,0.002067935061193217,28.443947148541362,1348322.5626,532.9816127232986,0.0,0.0,18.73796241920772,0.3879936965605606,2.109580299071186e-05,-inf
hydrogengas_pipeline,2020,0.0,0.0,0.0,0.06046138150328589,0.0,0.0,,0.0,,-inf
hydrogengas_pipeline,2030,0.0018748797262737892,0.7104895237082566,0.0,2134.009997509224,0.0,0.0,3003.5770075414903,0.08785712009138258,,-inf
hydrogengas_pipeline,2040,0.0018748822862560712,0.7104904938164867,0.0,2129.17700860635,0.0,0.0,2996.7705791096723,0.08805666596424847,,-inf
hydrogengas_vessel,2020,0.0,0.00022304333000340568,0.0,0.0012336161184283226,0.0,0.0,5.5308361761344145,0.0,,-inf
hydrogengas_vessel,2030,0.0,0.000248375827831591,0.0,0.007117290517924179,0.0,0.0,28.655326808814884,0.0,,-inf
hydrogengas_vessel,2040,0.0,0.00030761171193472434,0.0,0.005497176471504226,0.0,0.0,17.870504464637335,0.0,,-inf
ofpv_fixed,2020,0.11738934681922761,3.0865367370322794,0.0,1568.9553443674558,3241.5717445232785,0.0,508.3222647387033,7.48200688060721,,0.5159893199901413
ofpv_fixed,2030,0.0,0.0,0.0,0.006753914396610441,0.0,0.0,,0.0,,-inf
ofpv_fixed,2040,0.0,0.0,0.0,0.013000875632717917,0.0,0.0,,0.0,,-inf
ofpv_fixed_stock,2020,0.11738934681922761,3.0865367370322794,0.0,1568.9553443674558,3241.5717445232785,0.0,508.3222647387033,7.48200688060721,,0.5159893199901413
ofpv_fixed_stock,2030,0.0,0.0,0.0,0.006753914396610441,0.0,0.0,,0.0,,-inf
ofpv_fixed_stock,2040,0.0,0.0,0.0,0.013000875632717917,0.0,0.0,,0.0,,-inf
ofpv_hsat,2020,0.0,0.0,32.570999,0.0008983880306031432,0.0,44812.09540218992,,0.0,0.0,-inf
ofpv_hsat,2030,0.0,0.0,32.570999,0.0038445903238737995,0.0,44812.09540218992,,0.0,0.0,-inf
ofpv_hsat,2040,0.0,0.0,32.570999,0.011127363093366621,0.0,44812.09540218992,,0.0,0.0,-inf
wind_offshore,2020,0.0,0.0,43.178309,0.002266616645930544,0.0,153720.93608234177,,0.0,0.0,-inf
wind_offshore,2030,0.0,0.0,43.178309,0.005983003993937219,0.0,153720.93608234177,,0.0,0.0,-inf
wind_offshore,2040,0.0,0.0,43.178309,0.014506110003251279,0.0,153720.93608234177,,0.0,0.0,-inf
