variable,,TAC,TAC,capacity,capacity,capacity_max,capacity_max,operation,operation,operation_max_of_capacity_max,operation_max_of_capacity_max,operation_max_of_build_capacity,operation_max_of_build_capacity
space,,DEU.10_1,DEU.9_1,DEU.10_1,DEU.9_1,DEU.10_1,DEU.9_1,DEU.10_1,DEU.9_1,DEU.10_1,DEU.9_1,DEU.10_1,DEU.9_1
component,investment period,,,,,,,,,,,,
electrolyzer_pem_compressor,2020,0.07723409819518443,0.023516332697866304,0.5201402686152666,0.15837294526832207,0.0,0.0,4556.427720054427,1387.345953816057,0.0,0.0,0.0,0.0
electrolyzer_pem_compressor,2030,0.052982316311208075,0.020472701162565585,0.559013675985404,0.21600640989369926,0.0,0.0,4346.325619244327,1609.5719813482328,0.0,0.0,0.0,0.0
electrolyzer_pem_compressor,2040,0.04260776858520326,0.016158718394946092,0.5542455040702073,0.21019399323919571,0.0,0.0,4381.87145189593,1573.7188075048182,0.0,0.0,0.0,0.0
battery_liion,2020,0.0001998405202907208,0.0,0.00452263329867813,0.0018079496417789111,0.0,0.0,0.0003878367514987636,0.0002611893169080089,0.0,0.0,0.0,0.0
battery_liion,2030,0.0013289967229909493,0.0005083739479988215,0.04625814676844528,0.017637761114635313,0.0,0.0,1.85227891785369,0.7065225629945503,0.0,0.0,0.0,0.0
battery_liion,2040,0.0028807771806114825,0.0011732907851625626,0.11753605403491556,0.048030029296377556,0.0,0.0,3.938517944226372,1.606977266366319,0.0,0.0,0.0,0.0
wind_offshore,2020,0.0,0.0,0.0,0.0,0.0,43.178309,0.0,0.002266616645930544,0.0,153720.93608234177,0.0,0.0
wind_offshore,2030,0.0,0.0,0.0,0.0,0.0,43.178309,0.0,0.005983003993937219,0.0,153720.93608234177,0.0,0.0
wind_offshore,2040,0.0,0.0,0.0,0.0,0.0,43.178309,0.0,0.014506110003251279,0.0,153720.93608234177,0.0,0.0
geothermal_egs,2020,0.0,0.0,0.0,0.0,1.2508,2.1648,0.00010668075328575157,0.00010740006370480969,10957.008,18963.648,0.0,0.0
geothermal_egs,2030,0.0,0.0,0.0,0.0,1.2508,2.1648,0.0004985474475238027,0.000516855423570236,10957.008,18963.648,0.0,0.0
geothermal_egs,2040,0.0,0.0,0.0,0.0,1.2508,2.1648,0.0010618034984108292,0.0010999266875366686,10957.008,18963.648,0.0,0.0
coal,2020,0.8903654953595186,0.24724668710465786,10.112310834867538,2.8081000060362538,0.0,0.0,30786.358997260715,6525.725883547693,0.0,0.0,0.0,0.0
coal,2030,0.5001468061804727,0.19099803596456932,5.680408768670832,2.169256915938792,0.0,0.0,42292.16349756398,16100.371828798297,0.0,0.0,0.0,0.0
coal,2040,0.5932167279247944,0.2264057316720603,6.737448807800875,2.571399212339734,0.0,0.0,49589.086260251795,18837.48287781006,0.0,0.0,0.0,0.0
wind_onshore,2020,0.8556239904666003,1.5177519626703486,6.188115645168758,10.97681314494722,10.599044,38.047992,5563.3793995158,6350.962643783334,22582.96881548328,86449.024478694,11455.284082952674,20880.33765500068
wind_onshore,2030,0.0,0.0,0.0,0.0,10.599044,38.047992,0.014539426642606417,0.01543239512385862,22582.96881548328,86449.024478694,0.0,0.0
wind_onshore,2040,0.0,0.0,0.0,0.0,10.599044,38.047992,0.03211977054505139,0.03387831887113059,22582.96881548328,86449.024478694,0.0,0.0
ofpv_fixed_stock,2020,0.04757656477294065,0.06981278204628696,1.2509381726061752,1.8355985644261041,0.0,0.0,663.6014618549743,905.3538825124814,0.0,0.0,1329.4018627715543,1912.169881751724
ofpv_fixed_stock,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0032774780624540353,0.003476436334156406,0.0,0.0,0.0,0.0
ofpv_fixed_stock,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.006465061644350404,0.0065358139883675125,0.0,0.0,0.0,0.0
wind_onshore_stock,2020,0.8556239904666003,1.5177519626703486,6.188115645168758,10.97681314494722,0.0,0.0,5563.377008213891,6350.960097294491,0.0,0.0,11455.284082952674,20880.33765500068
wind_onshore_stock,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.006310772298810504,0.0066641367058809095,0.0,0.0,0.0,0.0
wind_onshore_stock,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.013183570933379357,0.013929638394102859,0.0,0.0,0.0,0.0
compressor,2020,0.07723409819518443,0.023516332697866304,0.5201402686152666,0.15837294526832207,0.0,0.0,4556.427720054427,1387.345953816057,0.0,0.0,0.0,0.0
compressor,2030,0.052982316311208075,0.020472701162565585,0.559013675985404,0.21600640989369926,0.0,0.0,4346.325619244327,1609.5719813482328,0.0,0.0,0.0,0.0
compressor,2040,0.04260776858520326,0.016158718394946092,0.5542455040702073,0.21019399323919571,0.0,0.0,4381.87145189593,1573.7188075048182,0.0,0.0,0.0,0.0
coal_pp,2020,0.8903654953595186,0.24724668710465786,10.112310834867538,2.8081000060362538,0.0,0.0,30786.358997260715,6525.725883547693,0.0,0.0,0.0,0.0
coal_pp,2030,0.5001468061804727,0.19099803596456932,5.680408768670832,2.169256915938792,0.0,0.0,42292.16349756398,16100.371828798297,0.0,0.0,0.0,0.0
coal_pp,2040,0.5932167279247944,0.2264057316720603,6.737448807800875,2.571399212339734,0.0,0.0,49589.086260251795,18837.48287781006,0.0,0.0,0.0,0.0
hydrogen_gas_demand,2020,0.0,0.0,0.0,0.0,0.0,0.0,3112.040403902312,947.5550833244675,0.0,0.0,0.0,0.0
hydrogen_gas_demand,2030,0.0,0.0,0.0,0.0,0.0,0.0,3112.040403902312,947.5550833244675,0.0,0.0,0.0,0.0
hydrogen_gas_demand,2040,0.0,0.0,0.0,0.0,0.0,0.0,3112.040403902312,947.5550833244675,0.0,0.0,0.0,0.0
electricity_demand,2020,0.0,0.0,0.0,0.0,0.0,0.0,32456.91242696032,12394.699109183744,0.0,0.0,0.0,0.0
electricity_demand,2030,0.0,0.0,0.0,0.0,0.0,0.0,37945.78202035651,14490.797658692773,0.0,0.0,0.0,0.0
electricity_demand,2040,0.0,0.0,0.0,0.0,0.0,0.0,45207.09697207404,17263.760557307654,0.0,0.0,0.0,0.0
hydrogen_saltcavern,2020,0.0,0.0001596310212711391,0.0,2.1956861303392263,0.0,1348322.5626,0.0,0.002216729341541808,0.0,0.0,0.0,0.0
hydrogen_saltcavern,2030,0.0,0.0020441826790850897,0.0,28.117238871278268,0.0,1348322.5626,0.0,547.4423545528384,0.0,0.0,0.0,0.0
hydrogen_saltcavern,2040,0.0,0.002067935061193217,0.0,28.443947148541362,0.0,1348322.5626,0.0,532.9816127232986,0.0,0.0,0.0,0.0
wind_offshore_stock,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010764551024802884,0.0,0.0,0.0,0.0
wind_offshore_stock,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002832864162761536,0.0,0.0,0.0,0.0
