variable,,TAC,TAC,capacity,capacity,capacity_max,capacity_max,operation,operation,operation_max_of_capacity_max,operation_max_of_capacity_max,operation_max_of_build_capacity,operation_max_of_build_capacity
wind_offshore_stock,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006214147964667949,0.0,0.0,0.0,0.0
ofpv_hsat,2020,0.0,0.0,0.0,0.0,6.099499,26.4715,0.00046038217207906585,0.00043800585852407745,8643.514652209797,36168.58074998013,0.0,0.0
ofpv_hsat,2030,0.0,0.0,0.0,0.0,6.099499,26.4715,0.001901641736761333,0.0019429485871124666,8643.514652209797,36168.58074998013,0.0,0.0
ofpv_hsat,2040,0.0,0.0,0.0,0.0,6.099499,26.4715,0.005574196216489128,0.0055531668768774925,8643.514652209797,36168.58074998013,0.0,0.0
ofpv_fixed,2020,0.04757656477294065,0.06981278204628696,1.2509381726061752,1.8355985644261041,0.0,0.0,663.6014618549743,905.3538825124814,0.0,0.0,1329.4018627715543,1912.169881751724
ofpv_fixed,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0032774780624540353,0.003476436334156406,0.0,0.0,0.0,0.0
ofpv_fixed,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.006465061644350404,0.0065358139883675125,0.0,0.0,0.0,0.0
hydrogengas_vessel,2020,0.0,0.0,0.00011377123742507769,0.00010927209257832799,0.0,0.0,0.0005893003526458593,0.0006443157657824634,0.0,0.0,0.0,0.0
hydrogengas_vessel,2030,0.0,0.0,0.00013764872585437374,0.00011072710197721725,0.0,0.0,0.004091690434246853,0.003025600083677326,0.0,0.0,0.0,0.0
hydrogengas_vessel,2040,0.0,0.0,0.00015488694772855673,0.00015272476420616758,0.0,0.0,0.003136066707619767,0.0023611097638844584,0.0,0.0,0.0,0.0
electricity_grid,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.004748989484026197,0.004795852680312571,0.0,0.0,0.0,0.0
electricity_grid,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.010428084776083485,0.0105570440944364,0.0,0.0,0.0,0.0
electricity_grid,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.024987168074765875,0.02362803853457394,0.0,0.0,0.0,0.0
hydrogengas_pipeline,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.02995143479702142,0.030509946706264467,0.0,0.0,0.0,0.0
hydrogengas_pipeline,2030,0.0009374398631368946,0.0009374398631368946,0.3552447618541283,0.3552447618541283,0.0,0.0,995.2548193589297,1138.7551781502943,0.0,0.0,0.0,0.0
hydrogengas_pipeline,2040,0.0009374411431280356,0.0009374411431280356,0.35524524690824333,0.35524524690824333,0.0,0.0,1004.9772150310218,1124.1997935753277,0.0,0.0,0.0,0.0
